fpType,relIndex,absIndex,fpName,smarts
insilico,3078,11617,Un11617,[CX4][CH2][NX3][cX3](a)[nX2]a
insilico,3079,11619,Un11619,O=[CH0]([CH2][CH2][CH2][CH2][CH2][CH2][CH2][CH2][CH2][CH2][CH2][CH2][#6])O[CH2][CH1]([CH2]O[#15])O[CH0](=O)[CH2][CH2][#6]
insilico,3080,11620,Un11620,[CX4]([CX4])[CH1]([CX4]([CH2][CX3]))[CX4]
insilico,3081,11623,Un11623,[#9][cH0](:[cH0](:[#6])F):[cH1]:[#6]
insilico,3082,11629,Un11629,[cX3](a)[cH1][cH1][cX3](a)[CX3][NH1][cH0]1[cH1][cX3]([cH1][cH1][cH1]1)
insilico,3083,11630,Un11630,[NX4+]([CH3])([CH3])[CH2][CX4]([CX4])
insilico,3084,11632,Un11632,[CX4]([CH2][CH1]1[CX4][CX4]([CH2][CH1]([CX4]1)[CX4]))
insilico,3085,11634,Un11634,[CH3][CH2][OH0][CH0](=[OH0])[CX4]
insilico,3086,11635,Un11635,[CX4]([CX4]([CX4][CX3]))[OH1]
insilico,3087,11636,Un11636,[cH1]([cX3](a)-[cX3]([cX3]([cH1][cX3]([cX3]a)))a)[cX3]a
insilico,3088,11638,Un11638,[CX4]([CH0](=[OH0])[NH1][CX4]([CH2][cH0]1[cH1][cH1][cH1][cH1][cH1]1))[NH1][CX3](=[OH0])
insilico,3089,11640,Un11640,[CH3][CH1]([CX4])[CX4]([CH3])[OH1]
insilico,3090,11641,Un11641,[cX3](a)[cX3](a)[CX4]([CH2][CX3](=[OH0]))
insilico,3091,11642,Un11642,[cX3](a)[cX3]([cH1][cX3]([cX3](a)[OH0][CH1]1[CH1]([CH1]([CH1]([CH1]([OH0]1)[CH2][OH1])[OH1])[OH1])[OH1]))
insilico,3092,11644,Un11644,[CX4]([CH1]([CX3])[NH1][CX3](=[OH0]))[CX4]([CX4])
insilico,3093,11647,Un11647,[#8]=[CH0]([#7])[CH1]=[CH1][cH0](:[cH1]:[#6]):[cH1]:[#6]
insilico,3094,11648,Un11648,[CX4]([CH2][CH2][CX3](=[OH0]))[CX4]([CX4]([CH2][CX4]))
insilico,3095,11650,Un11650,[CX4]([CX4]([cH0]1[cX3]([cH1][cH1][cX3]([cX3]1))))[CX4]([CH3])[CH3]
insilico,3096,11653,Un11653,[cX3]1[cH1][cH0]2[cH0]([cX3]([cH0]1[CX4]))[OH0][CH2][OH0]2
insilico,3097,11655,Un11655,[CX3][CH2][NX3][CH2][CH2][NX3][CH2][CX4]
insilico,3098,11657,Un11657,[#6][CH2]N([#6])[CH2][CH2][#6]
insilico,3099,11659,Un11659,[CH2]([CH1]1[CH1]([CH1]([CH1]([OH0]1)[nX3]([cX3]a)a)[OH1])[OH1])[OX2]
insilico,3100,11661,Un11661,[CX4][cH0]1[cH1][cH0]([cH1][cH1][cH1]1)[OH0][CX4]
insilico,3101,11662,Un11662,[CH2]([CX4])[CX4]([CH2][CX4])([CX3](=[OH0]))
insilico,3102,11664,Un11664,[#6]1[#6]N([CH2][CH2]N1[CH2][#6])[cH0](:[#6]):[#6]
